公司名称,公司logo链接,公司详情链接,行业,创立时间,公司位置,融资情况,基本信息,公司Tag,公司规模,公司状态
青岛克路德智能工程有限公司,https://cdn.itjuzi.com/images/693c21a57e9231f6289d921d528118c1.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83224,体育运动,2017.5,山东·青岛市,2017.8天使轮未透露,纯净跑是一个环保型共享健身仓，内置一台智能跑步机，另配有智能恒温系统、空气净化系统、定制娱乐系统、制氧设备及负离子制造设备。跑步仓内设有语言识别系统，用户可通过语音对设备进行操控。,共享经济、跑步运动、节能环保、体育运动、大众健身,不明确,运营中
武汉拓易恒安智能科技有限公司,无公司logo图片,https://www.itjuzi.com/company/83214,电子商务,2016.5,湖北·武汉市,暂未收录融资信息,分贝乐享是一个儿童玩具新零售平台，可以直接让厂家和店铺进行对接，开发的微信小程序可以让厂家和店员实时了解商品的销售状况。物流方面采取三天内“智能补货”，不再像以前成箱进货，而是零售终端直接根据订单来进货上架。,微信等腾讯平台、儿童经济、电子商务、母婴玩具、新零售,不明确,运营中
上海阿瓦特网络技术有限公司,https://cdn.itjuzi.com/images/fdd3328c84aa2bace7836b473400349b.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83205,工具软件,2017.5,上海·浦东新区,暂未收录融资信息,布等是一款点餐APP，解决用户排队点餐和等餐的问题，志立于为用户提供更极致的本地生活消费体验，隶属于上海阿瓦特网络技术有限公司。,餐饮信息化、APP、本地生活、美食餐饮、工具软件、事项及效率,5人以下,未上线
北京中网云联科技有限公司,https://cdn.itjuzi.com/images/e8427c6d4001808eb28f047763a565ec.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83194,硬件,2017.3,北京·房山区,暂未收录融资信息,超维科技是一个IT运维管理系统研发及巡检机器人制造商，专注于从事IT运维管理系统的研发，致力于为用户提供从机房管理、网络管理、IT基础架构管理到业务服务管理的整体解决方案。其核心产品有IT数据中心巡检机器人，智能巡检管理系统等，隶属于北京中网云联科技有限公司。,机器人、硬件、综合硬件、IT运维,10-15人,运营中
北京腾优时代国际教育科技有限公司,https://cdn.itjuzi.com/images/2fcc99c88e46236b7b7c9bafa5dac4a8.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83181,教育,2012.11,北京·海淀区,暂未收录融资信息,U时代是一家出国游学服务商，为用户提供出国游学、语言培训、企业访学以及打工度假等资讯服务，并提供定制化游学服务。,教育、其他教育、资讯,不明确,运营中
深圳住的爽科技发展有限公司,https://cdn.itjuzi.com/images/658ec2a3cfc63a6b1410791e5d48c190.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83169,房产服务,2015.9,广东·广州市,暂未收录融资信息,满租是一家SaaS房屋管理系统供应商，专注于为公寓，二房东等服务，利用系统精准功能，减轻运营成本，提高出租效率，其次满租还会提供租客入住后周边的生活配套信息，让租房变得更简单，隶属于深圳住的爽科技发展有限公司。,SAAS、APP、房产服务、租房、酒店公寓,30-50人,运营中
杭州蚁类科技有限公司,https://cdn.itjuzi.com/images/bb2e9d8b50820c34c175fe45247df25b.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83158,硬件,2016.11,浙江·杭州市,暂未收录融资信息,"琥珀蚁是一家智能门锁提供商，专注于普通家庭用户相关的消费电子产品研发和服务,以微信智能门锁为切入点致力于家庭消费电子产品的普及和生活品质提升，隶属于杭州蚁类科技有限公司。",硬件、智能家居、智能门锁,10-15人,运营中
大连云祺商贸有限公司,无公司logo图片,https://www.itjuzi.com/company/83159,企业服务,2017.5,辽宁·大连市,暂未收录融资信息,云祺商贸是一家智能家电研发公司，聚焦人工智能家电，定位中高端市场，重塑新一代家庭的生活体验，产品囊括全球工业设计大奖，云米以研发实力、不同的黑科技、工业设计、人性化体验及服务，隶属于大连云祺商贸有限公司。,人工智能、本地生活、智能家居、黑科技及前沿技术,15-30人,运营中
饕餐（北京）餐饮管理有限公司,https://cdn.itjuzi.com/images/a626ce0c07f6d321f3c0c7842a848e13.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83160,本地生活,2015.3,北京·朝阳区,2017.1天使轮数百万人民币,夲宫PavoMea是一家艺术甜品餐饮品牌，本宫-PavoMea意为“我的美丽星座”，是艺术与甜品的完美结合。饕餐（北京）餐饮管理有限公司旗下产品。,本地生活、美食餐饮、下午茶、糕点烘焙,10-15人,运营中
北京悦诚传媒文化有限公司,https://cdn.itjuzi.com/images/fc104374c616189cc007bf5195b11747.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83161,本地生活,2009.9,北京·朝阳区,2017.8Pre-A轮数百万美元,悦诚科技是一家VR内容提供商，主要专注于VR和AR领域的内容创作，并建立线上观影平台。影院分成了三个区域，造梦空间、未来空间以及普通观影区。,本地生活、休闲娱乐、VR内容,暂未收录,运营中
中能电子商务（深圳）有限公司,https://cdn.itjuzi.com/images/5cfb482e935d73414d5f9171df1bf164.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83162,电子商务,2015.12,广东·深圳市,暂未收录融资信息,中能电商是国内首家立足于跨境业务的煤炭电商平台，平台以现货交易订单为基础，重点发挥垂直产业电商的产业整合能力和风险控制能力，提供数据信息服务、在线交易服务、支付结算服务、仓储物流服务、供应链金融服务，优化交易环节，降低交易成本，完善交易信用，将平台打造成为信息流、货物流、资金流“三流合一”的一站式交易体验平台，隶属于中能电子商务（深圳）有限公司。,垂直电商、电子商务、大宗商品、交易平台,50-100人,运营中
深圳市咚咚金服信息科技有限公司,https://cdn.itjuzi.com/images/66ff964cc6310e1670f262c19a4c9e9c.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83164,金融,2016.11,广东·深圳市,暂未收录融资信息,咚咚金服是一家专注于房产抵押贷款、个人消费类贷款等全面的金融贷款服务，致力于实现帮助客户解决所有的资金问题，一站式贷款服务，让客户无需东奔西跑，无需重复提交资料，找到贷款产品和贷款顾问，致力于为广大中小企业和个人用户提供正规贷款渠道信息、多样化的定制方案，实现互联网搜索比价、智能推荐、在线服务、整合贷款渠道，隶属于深圳市咚咚金服信息科技有限公司。,房贷、APP、教育、借贷、信用贷款、借贷平台,50-100人,运营中
西安臻言信息科技有限公司,https://cdn.itjuzi.com/images/65c9a79c44dbf3db93a19b915d3716e3.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83165,企业服务,2016.8,陕西·西安市,暂未收录融资信息,臻言科技是一家从事增强/虚拟现实的高新技术企业，旗下业务覆盖VR科技馆运营，全景影视VR制作，房产VR制作等业务，同时提供增强现实、虚拟现实等高新技术交流、推广、展示、销售软硬件研发等孵化平台服务，隶属于西安臻言信息科技有限公司。,VR虚拟现实、企业服务、VR设备、黑科技及前沿技术、VR·AR,30-50人,运营中
北京天天向上艺术培训有限公司,https://cdn.itjuzi.com/images/26be3a95cc521099aaf6f5d20cd00f03.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83166,教育,2016.7,北京·朝阳区,暂未收录融资信息,天天向上致力于学历教育，是一家现代化，规范化，综合教育培训机构，是中国交通运输协会和北京市教育考试院指定的高等教育自学考试助学单位，致力于培训学历以及教师资格证等技能培训，学校开设自考、成考、远程教育和职业教育等多种助学服务，迎合当今市场需要开设人力资源管理、物流管理、采购与供应管理、商务管理、金融管理、能源管理、心理学、法律军自考等多个专业，隶属于北京天天向上艺术培训有限公司。,教育、职业培训、学历教育、培训服务、教育机构,50-100人,运营中
武汉链享医药供应链管理有限公司,https://cdn.itjuzi.com/images/7e635d6211638635034634f4998764cd.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83167,物流,2016.7,湖北·武汉市,暂未收录融资信息,链享医药是一家专注于医药供应链整体解决方案的公司，确保客户从供应链分析、物流中心规划设计、业务流程改造、自动化设备集成、物流信息软件开发与实施、流程与操作教育辅导、物流效益改善、分析及追踪等，都能得到最适合的服务及支持，隶属于武汉链享医药供应链管理有限公司。,供应链、综合物流、物流、医药,30-50人,运营中
西安团商网络科技有限公司,https://cdn.itjuzi.com/images/5e2709b16c0497a082fd1e483bb48ba8.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83168,本地生活,2016.5,陕西·西安市,暂未收录融资信息,团商网是一个团购外卖平台，现主要对西安市未央区进行开发配送，采用中央厨房集中供应，保证了食品的安全，卫生。实现让用户吃上放心外卖，并节约了客户和送餐员大量时间，隶属于西安团商网络科技有限公司。,外卖订餐、APP、本地生活、美食餐饮,30-50人,运营中
北京仲济堂中医药科技有限公司,https://cdn.itjuzi.com/images/a338fe3686b68d013e8d0d03202068b2.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83170,医疗健康,2016.11,北京·朝阳区,暂未收录融资信息,北京仲济堂中医药科技有限公司。,O2O、医药电商、医疗健康、连锁,15-30人,运营中
鲨鱼快游网络技术（北京）有限公司,https://cdn.itjuzi.com/images/dd42b952a10c10036052b52a89340b92.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83171,金融,2017.4,北京·海淀区,2017.8天使轮数百万人民币,鲨鱼记账是一款专业的生活记账软件，凭借极简的设计理念，让用户轻松上手，3秒钟极速记账，隶属于鲨鱼快游网络技术（北京）有限公司。,记账工具、金融、其他金融,5人以下,运营中
杭州玩啊信息技术有限公司,https://cdn.itjuzi.com/images/e6f2cd7e870420b64ad1ef58977e936b.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83172,广告营销,2014.12,浙江·杭州,2016.9天使轮数百万人民币,杭州玩啊是一家为线下商家提供互动娱乐营销解决方案的平台。以游戏为切入点，通过线下Table和手机联通商家和消费者，带给用户全新的消费体验。,广告营销、整合营销传播、激励营销、地推、O2O营销、娱乐营销,15-30人,运营中
浙江众马科技有限公司,https://cdn.itjuzi.com/images/569dfb1ebaf9a131967f4194a8035147.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83173,金融,2016.4,浙江·杭州,2017.5A轮数千万人民币,51卡宝是一个信用卡取现神器，致力于解决个人、小微企业资金周转问题，隶属于浙江众马科技有限公司。,小额贷款、金融、信用卡、借贷,30-50人,运营中
上海铭勇信息科技有限公司,https://cdn.itjuzi.com/images/4ecee0691687af28ec24597e1a067d84.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83175,金融,2017.3,上海·浦东新区,2017.9天使轮600万人民币,漂流链是一个基于区块链的物流数字社区平台，初期在平台发行TokenPLC（PIAOLIUCOIN）即漂流币，漂流币也是平台唯一的流通媒介。漂流币代表了漂流链数据的使用权也代表了所有权，使用漂流链数据或漂流链上的应用需要支付一定的漂流币，体现使用权。目前平台只做点对点的同城快递和点对点的跨城快递，上海铭勇信息科技有限公司旗下产品。,Fintech金融科技、货运物流、比特币、金融、虚拟货币、物流、ICO,5人以下,运营中
北京超神科技有限公司,https://cdn.itjuzi.com/images/5e8b4a9d899963142e221ddc83a57a97.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83176,游戏,2017.3,北京·海淀区,2017.9天使轮数百万人民币,猪队友语音是一个为游戏玩家提供实时语音聊天体验的移动电竞开黑陪玩平台，支持大神陪玩服务，隶属于北京超神科技有限公司。,陪练、百度系、游戏玩家服务、游戏、游戏直播及玩家、电子竞技、连续创业者、游戏助手、美团系,5人以下,运营中
南京哇学霸网络科技有限公司,https://cdn.itjuzi.com/images/bcc2f8106ece6f421a39c16307bed254.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83177,本地生活,2015.6,北京·朝阳区,暂未收录融资信息,哇学霸校园生活是一家云控制洗衣解决方案提供商，采用“硬件+软件”的方式，一宿舍一个盒子，并通过“哇学霸app”辅助盒子控制洗衣：洗衣支付、洗衣模式设置、洗衣状态实时掌握，隶属于南京哇学霸网络科技有限公司。,校园服务、本地生活、洗衣服务,15-30人,运营中
一合（上海）食品有限公司,https://cdn.itjuzi.com/images/9600b0eadaf163db4b3388df78195e14.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83179,本地生活,2016.9,上海·黄浦区,2017.9天使轮1000万人民币,鸡排哥®JPG是一家全新轻食品牌，采用直营模式，致力于打造下一代炸鸡和汉堡与新式茶饮、咖啡结合的新一代轻食品牌。,独立品牌、本地生活、美食餐饮,10-15人,运营中
深圳市微平台信息科技有限公司,https://cdn.itjuzi.com/images/58f5393a36cfe65ec6365038afe50ef6.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83180,社交网络,2015.11,广东·广州市,暂未收录融资信息,ECHARTS微平台是一家一站式熟人社交脱单平台，致力于帮助1000万人快速脱单，提升1亿中国人的幸福指数，隶属于深圳市微平台信息科技有限公司。,婚恋交友、情侣社交、社交网络,暂未收录,未上线
上海律加网络信息技术有限公司,https://cdn.itjuzi.com/images/6bc4a6cc05e657e02178ac02f0a379a9.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83182,企业服务,2015.6,上海·浦东新区,2016.10种子轮150万人民币,律加网是一家小标的案件“一站式”法律服务平台，通过这一平台，有诉讼需求的用户可以免费接受律师服务，诉讼产生的费用都由平台来支付。维权成功之后获得经济赔偿，再由平台和用户按比例分成。,企业服务、法律服务,不明确,运营中
天津型录互联网科技有限公司,https://cdn.itjuzi.com/images/60803ed789fbc16cb5dc1076b0928abc.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83183,电子商务,2016.5,天津·天津市,2017.3天使轮2000万人民币,型录是一家男性一站式场景化整体穿搭服务提供商，主要聚焦于职场、聚会、旅行这三大场景，根据不同的季度为这三大场景做鞋服配一体化的产品设计，并提供相应的搭配建议，以满足男士日常生活中多种场合的穿着需求。,男性经济、本地生活、服装服饰、穿衣搭配,暂未收录,运营中
北京爱威白口腔科技有限公司,https://cdn.itjuzi.com/images/a82ba7daa1bea4374b38ed092dd2ed26.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83184,本地生活,2005.12,北京·朝阳区,2012.3天使轮700万美元,爱威白是一家牙齿美容一站式服务连锁机构，定位中高端市场，从设计、生产到门诊，均可直接面对客人做一条龙服务。,医疗健康、美业服务、连锁、牙齿口腔,不明确,运营中
江苏速趣信息科技有限公司,https://cdn.itjuzi.com/images/ac6eef65519a3e1b5314a302153c676b.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83186,文化娱乐,2017.7,江苏·南京市,暂未收录融资信息,芝士百科是一款视频版的百科全书，专注于通过小视频展现更加生动的知识，隶属于江苏速趣信息科技有限公司。,视频、知识分享、文化娱乐,15-30人,运营中
北京美秒科技有限公司,https://cdn.itjuzi.com/images/567f8a1dd4944c324ab4c38e8c9f5067.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83188,文化娱乐,2013.7,北京·海淀区,2015.9A轮数千万人民币,美秒科技是一家服务于短视频创作者的第三方服务商，业务包括美秒短视频运营助手、美秒短视频培训学院、美秒短视频内容制作。,视频、百度系、多媒体、文化娱乐、短视频,50-100人,运营中
北京复为科技发展有限公司,https://cdn.itjuzi.com/images/2dd6f37c388c0c17860f0d6688c643ad.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83189,本地生活,2017.1,北京·丰台区,暂未收录融资信息,饮唐风是一个自助设备售卖碗装茶叶的新零售品牌，以互联网企业白领为主要用户群体，为其提供小碗装茶叶，每碗含量2.5g-3g，每碗茶为标准杯一泡的量，可连续冲泡三、四次以上。品类有龙井、茉莉花茶、武夷山大红袍等共10种。其产品共分两种销售形式，一为单碗零售，一为十碗礼盒装，隶属于北京复为科技发展有限公司。,本地生活、美食餐饮、零售、自助,15-30人,运营中
山西甲护生物科技有限公司,https://cdn.itjuzi.com/images/ef3ccd8f2de8e1e22b17c2b70d5635e8.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83191,医疗健康,2016.6,山西·太原市,2016.7天使轮1250万人民币,甲护科技是一家抗感染医药和卫生用品研发生产商，致力于针对不同的消费人群，设计不同卫生产品，核心产品为酸性氧化电位水，广泛应用于治疗创伤、公共卫生、传染疫病等方面，隶属于山西甲护生物科技有限公司。,医疗健康、生物技术和制药、生物制药,30-50人,运营中
广州车多多科技有限公司,https://cdn.itjuzi.com/images/b562df6fbd3efa9949e3c77af253df91.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83192,汽车交通,2017.2,广东·广州市,暂未收录融资信息,车多多共享洗车是一家共享自助洗车机研发商，洗车机配有高压水枪、泡沫刷、毛巾等洗车工具，能提供清水、泡沫、吸尘、消毒等基本的汽车清洁服务，用户扫码支付后即可进行自助洗车。,洗车、共享经济、汽车交通、汽车后服务,15-30人,运营中
北京优链世界科技有限公司,https://cdn.itjuzi.com/images/a6c9a02836115ca6530a31cd1ee53e85.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83193,企业服务,2016.12,北京·海淀区,暂未收录融资信息,优链管家是一家餐饮采购管理SaaS服务提供商，致力于打通餐厅与生鲜食材供应商之间的沟通渠道，餐厅可在软件中了解每日最新的食材价格，也可选择附近供应商进行食材采购，为餐厅节省食材成本，提高效率。,SAAS、餐饮信息化、渠道、企业服务、行业信息化及解决方案,15-30人,运营中
泉州市法智星软件有限公司,https://cdn.itjuzi.com/images/80d4d1608cac8ef99d602d2fae9a9ec4.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83195,企业服务,2011.6,福建·泉州市,暂未收录融资信息,掌上律师是一个公共法律服务信息化解决方案提供商，以各级司法机构为使用人群，为其开发对应微信公号形式的法律平台，为司法机构提供SaaS工具解决其律师需求，用户免费向平台律师咨询，隶属于泉州市法智星软件有限公司。,IT基础设施、APP、企业服务,150-300人,运营中
北京楚科信息技术有限公司,https://cdn.itjuzi.com/images/29725130553d3ee88274f320260ff9d2.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83196,企业服务,2003.8,北京·朝阳区,2015.9天使轮650万人民币,eHub是一家智能营销系统提供商，通过大数据营销技术提供包括营销管理、活动管理和用户关系管理在内的一站式数字营销解决方案。业务包括智能营销系统、会议云平台及其他创新业务。主要为企业用户提供⼀体化的智能营销平台，涉及Marketing到Sales整个营销流程。,CRM、大数据、企业服务、综合企业服务、营销推广、数字营销,50-100人,运营中
北京友媒信息技术有限公司,https://cdn.itjuzi.com/images/0813ce4a21811add4512c0504120824d.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83197,企业服务,2015.3,北京·昌平区,暂未收录融资信息,玉米社群是一个服务业招聘平台，平台将企业招聘需求细化为各种维度，如职业、薪资、食宿条件等，供求职者选择应聘，招聘岗位包括普工、技工、司机、销售、保姆、保洁、厨师、服务员，隶属于北京友媒信息技术有限公司。,招聘、服务、企业服务、人力资源,15-30人,运营中
南京化速运供应链管理有限公司,https://cdn.itjuzi.com/images/d949760e380fb386fceb91b73e193b3a.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83198,电子商务,2016.7,江苏·南京市,暂未收录融资信息,化速运是一家采用B2B模式的细分化学品交易服务平台。借助于货主、运输公司、和司机车辆的不用决策特点进行区分化的解决方案，为整个产业链的效率提升提供服务，隶属于南京化速运供应链管理有限公司。,化工品、大宗商品、电子商务、解决方案,15-30人,运营中
北京易码云天科技有限公司,https://cdn.itjuzi.com/images/28837f0441722865c6cc34ee2af246a8.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83199,企业服务,2009.1,北京·朝阳区,2017.5天使轮数百万人民币,Bind.ai是一家帮助企业级客户快速链接AI人工智能服务的平台，通过接入Bind.ai的AI-aaS技术平台，企业级客户能快速链接适宜的AI技术，完成从底层技术到产品业务的一站式接入，从而极大程度的降低企业接入AI技术的难度与成本，释放更多商业潜能。北京易码云天科技有限公司旗下产品。,人工智能、开发者服务、API、企业服务、B2D开发者服务、黑科技及前沿技术、行业解决方案、技术平台,30-50人,运营中
锐波（北京）科技有限公司,https://cdn.itjuzi.com/images/730c95eefb805fbdc4746592f00ac3c7.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83201,金融,2017.1,北京·海淀区,2017.7天使轮数百万人民币,"波场TRON是一家基于区块链的开源去中心化内容娱乐协议,波场TRON致力于利用区块链与分布式存储技术，构建一个全球范围内的自由内容娱乐体系，这个协议可以让每个用户自由发布，存储，拥有数据，并通过去中心化的自治形式，以数字资产发行，流通，交易方式决定内容的分发、订阅、推送，赋能内容创造者，形成去中心化的内容娱乐生态。",Fintech金融科技、比特币、金融、虚拟货币、连续创业者、ICO,10-15人,运营中
北京睿艺创联教育科技有限公司,https://cdn.itjuzi.com/images/f2e913b49398934a27e0ddb31c5f19fe.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83202,教育,2016.11,北京·朝阳区,2017.1种子轮30万人民币,北京睿艺创联是一家少儿素质教育行业资讯媒体，专注于少儿素质教育（培训）行业的专业媒体，打造少儿艺术教育行业校长最大社群，为校长及管理者提供专业媒体信息交流服务。,艺术教育、教育、教育媒体及社区、儿童早教、素质教育、其他教育,10-15人,运营中
上海异构网络科技有限公司,https://cdn.itjuzi.com/images/307b44d876f47a813e6f1b7fe5c7df64.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83203,教育,2016.6,上海·杨浦区,2017.1天使轮数百万人民币,番茄教育是一个关于英语学习的在线教育产品，隶属于上海异构网络科技有限公司。,成人外语、阿里巴巴系、教育、语言学习、移动互联网教育,10-15人,运营中
校伙伴（北京）教学设备有限公司,https://cdn.itjuzi.com/images/611b992fef509d1700a86f3d9a493692.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83204,教育,2016.6,北京·顺义区,2017.4种子轮30万人民币,校伙伴是一家为中小学提供国际教育解决方案的专业机构，为学校提供品牌规划、教学环境设计、家具及设备配置、创新型教育项目设计等高品质服务，帮助伙伴学校从优秀到卓越，以变革求发展。,教育、教辅设备、教辅工具和设备、学校管理系统,15-30人,运营中
北京出行汽车服务有限公司,https://cdn.itjuzi.com/images/bb2a15fba45f14afcf033572eaadf873.png?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83206,汽车交通,2015.11,北京·通州区,暂未收录融资信息,北京出行是一家出行服务商，为北京汽车集团有限公司（简称北汽集团）下属全资子公司。,租车、汽车交通、交通出行、分时租车,10-15人,运营中
北京零维时空科技有限公司,https://cdn.itjuzi.com/images/d838c2c50683ed2a610eb92b747df8e5.jpg?imageView2/0/w/100/q/100,https://www.itjuzi.com/company/83207,企业服务,2016.6,北京·石景山区,暂未收录融资信息,零维时空是一家专注于工业领域AR一站式解决方案提供商，隶属于北京零维时空科技有限公司。,工业设计、AR增强现实、企业服务、行业信息化及解决方案,10-15人,运营中
